,subject_num,block_num,trial_num,rt_trail,s_bl,s_pretrial,s_ret,wm_perf,triggered_low,triggered_high,wm_perf_subjmean,arf,s_preret,s_preret_bl,s_prevstim,s_prevstim_bl,probes_perloc_rts0,probes_perloc_rts1,probes_perloc_rts2,probes_perloc_rts3,probes_perloc_rts4,probes_perloc_rts5,probes_perloc_respind0,probes_perloc_respind1,probes_perloc_respind2,probes_perloc_respind3,probes_perloc_respind4,probes_perloc_respind5,probes_perloc_colorind0,probes_perloc_colorind1,probes_perloc_colorind2,probes_perloc_colorind3,probes_perloc_colorind4,probes_perloc_colorind5,probes_perloc_acc0,probes_perloc_acc1,probes_perloc_acc2,probes_perloc_acc3,probes_perloc_acc4,probes_perloc_acc5,probes_perloc_resporder0,probes_perloc_resporder1,probes_perloc_resporder2,probes_perloc_resporder3,probes_perloc_resporder4,probes_perloc_resporder5,probes_perresporder_acc0,probes_perresporder_acc1,probes_perresporder_acc2,probes_perresporder_acc3,probes_perresporder_acc4,probes_perresporder_acc5,probes_sortedbylocacc_acc0,probes_sortedbylocacc_acc1,probes_sortedbylocacc_acc2,probes_sortedbylocacc_acc3,probes_sortedbylocacc_acc4,probes_sortedbylocacc_acc5
180,5,4,160,0.290877421,NA,NA,1583.2035,3.0,1.0,0.0,3.0865384615384617,0,1513.4048313202832,1501.93,1589.685393258427,1568.53,6.587579770362936,5.67556380944734,4.684435483490233,0.9016116009588586,1.8756976343720453,2.9393403064459562,3.0,1.0,4.0,0.0,8.0,2.0,1,6,5,0,8,2,0,0,0,1,1,1,3,4,5,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1
181,5,4,204,0.480106729,NA,NA,1410.473,4.0,0.0,1.0,3.0865384615384617,0,1439.1974177426073,1437.4,1410.8589263420724,1480.64,3.7894287437957246,6.692358351996518,2.6139230942935683,1.8441678108647466,1.0149143223970896,4.973076502006734,3.0,4.0,2.0,6.0,7.0,1.0,3,0,2,6,7,8,1,0,1,1,1,0,4,3,2,0,5,1,1,1,1,1,0,0,1,1,1,0,1,0
182,5,4,226,0.296767542,NA,NA,1452.058,1.0,1.0,0.0,3.0865384615384617,0,1469.6143273635985,1448.49,1468.1922596754057,1451.24,2.3348379846138414,3.7177029782469617,0.9808964501862647,7.148454997877707,5.733384213788668,4.669575614781934,3.0,4.0,2.0,3.0,5.0,1.0,6,3,2,1,4,7,0,0,1,0,0,0,2,0,1,5,4,3,1,0,0,0,0,0,0,1,0,0,0,0
183,5,4,231,0.501032529,NA,NA,1493.765,5.0,0.0,1.0,3.0865384615384617,1,1501.116201582674,1505.21,1474.7802746566792,1496.73,2.0086780926358188,0.9023386004264466,7.470175061476766,4.9666273041657405,4.238243135987432,2.967452092168969,3.0,6.0,0.0,7.0,1.0,8.0,3,6,4,7,1,8,1,1,0,1,1,1,1,0,5,4,3,2,1,1,1,1,1,0,1,0,1,1,1,1
184,5,4,243,0.483444369,NA,NA,1447.112,2.0,0.0,1.0,3.0865384615384617,0,1557.1999167013744,1610.47,1578.1273408239701,1563.73,8.400906554059475,1.0830521318566753,1.9873536307859467,2.856809618519037,5.177568047147361,9.592968404322164,0.0,5.0,3.0,7.0,6.0,4.0,6,5,1,7,8,0,0,1,0,1,0,0,1,2,3,4,0,5,1,0,1,0,0,0,1,0,0,1,0,0
185,5,4,256,0.296815533,NA,NA,1627.4665,4.0,1.0,0.0,3.0865384615384617,0,1660.0708038317368,1687.0,1615.54556803995,1707.31,1.9797991086670663,4.068002958170837,3.187608622276457,0.7737452274595853,6.524272088237922,11.747423570981482,4.0,1.0,5.0,7.0,3.0,8.0,4,1,5,7,8,6,1,1,1,1,0,0,3,0,2,1,4,5,1,1,1,1,0,0,1,1,1,1,0,0
186,5,4,271,0.515829106,NA,NA,1479.3925,3.0,0.0,1.0,3.0865384615384617,1,1476.8579758433987,1437.54,1513.111111111111,1514.93,5.5472635170590365,1.1552976307139033,1.9403891813271912,4.475541172680096,2.988868355503655,6.450871087887208,1.0,7.0,0.0,3.0,6.0,2.0,2,7,0,4,6,8,0,1,1,0,1,0,1,2,4,3,0,5,1,1,1,0,0,0,0,1,0,1,1,0
187,5,4,283,0.534475454,NA,NA,1560.596,4.0,0.0,1.0,3.0865384615384617,1,1623.3406913785923,1593.97,1605.3270911360798,1651.51,0.9454850198235363,1.8898324993351707,3.001270680993912,3.7767002663895255,5.5120696163212415,6.535366670010262,6.0,1.0,7.0,5.0,0.0,4.0,6,1,7,5,4,8,1,1,1,1,0,0,0,1,2,3,4,5,1,1,1,1,0,0,1,1,1,1,0,0
188,5,4,314,0.54405132,NA,NA,1631.2795,2.0,0.0,1.0,3.0865384615384617,0,1675.9287796751353,1814.32,1616.1847690387017,1577.66,2.207900459805387,7.230481917955331,6.207625910596107,5.312170141813112,3.720130586196319,0.9682614848716184,1.0,2.0,4.0,8.0,6.0,7.0,3,1,8,4,6,7,0,0,0,0,1,1,5,0,4,3,2,1,1,0,1,0,0,0,0,0,0,0,1,1
189,5,4,320,0.280130848,NA,NA,1666.5675,3.0,1.0,0.0,3.0865384615384617,0,1656.0116618075801,1692.7,1699.0736579275906,1678.93,3.7630594759684755,1.803196687847958,0.9483009310206398,7.5216164020239376,6.578235689230496,5.281633314021747,2.0,1.0,4.0,6.0,7.0,3.0,2,1,4,3,5,7,1,1,1,0,0,0,2,1,0,5,4,3,1,1,1,0,0,0,0,1,1,1,0,0
